"","k.conf","p.conf","c.conf","o.conf","f.conf","g.conf","s.conf"
"ASV197",91.5838858709051,91.5838858709051,91.5838858709051,91.5838858709051,91.5838858709051,91.5838858709051,91.5838858709051
"ASV198",98.3218439534752,98.3218439534752,98.3218439534752,98.3218439534752,98.3218439534752,97.1280650526226,75.318465278743
"ASV199",92.6280901376406,92.6280901376406,NA,NA,NA,NA,NA
"ASV200",76.8490748535147,76.8490748535147,74.3838454198416,71.2136520457197,71.2136520457197,NA,NA
"ASV201",95.81528475977,87.9431785441944,87.9431785441944,87.9431785441944,87.9431785441944,87.9431785441944,87.9431785441944
"ASV202",64.0778382100136,NA,NA,NA,NA,NA,NA
"ASV203",83.194385234313,82.3559585060849,81.6225692936786,80.9080839223721,80.9080839223721,80.9080839223721,NA
"ASV204",96.0943567223264,96.0943567223264,96.0943567223264,96.0943567223264,96.0943567223264,94.6819457586321,94.6819457586321
"ASV205",87.6013189521249,87.6013189521249,87.6013189521249,87.6013189521249,87.6013189521249,NA,NA
"ASV206",96.2842346272606,95.5309802477744,95.5309802477744,95.5309802477744,95.5309802477744,95.5309802477744,88.1059037391667
"ASV207",98.6781979533987,98.6781979533987,98.6781979533987,98.6781979533987,98.6781979533987,98.6781979533987,94.0010922644445
"ASV208",92.5921931767138,92.5921931767138,92.5921931767138,92.5921931767138,92.5921931767138,92.5921931767138,92.5921931767138
"ASV209",86.9058805832527,86.9058805832527,86.9058805832527,86.9058805832527,86.9058805832527,85.6465815006856,85.6465815006856
"ASV210",94.2735479438963,94.2735479438963,94.2735479438963,94.2735479438963,94.2735479438963,94.2735479438963,94.2735479438963
"ASV211",100,100,100,100,100,100,100
"ASV212",65.6493877222493,NA,NA,NA,NA,NA,NA
"ASV213",26.9586396180178,NA,NA,NA,NA,NA,NA
"ASV214",87.6657959604398,87.6657959604398,87.6657959604398,87.6657959604398,86.9598415047025,85.702052000419,77.8460885947894
"ASV215",29.6492162173483,NA,NA,NA,NA,NA,NA
"ASV216",100,100,100,100,100,100,100
"ASV217",87.1861687745118,77.2089687194283,77.2089687194283,76.5268644054232,76.5268644054232,73.1568213897059,71.2453277221844
"ASV218",90.794823855621,90.794823855621,88.0257935310108,88.0257935310108,87.0489486286651,73.5431851171389,73.5431851171389
"ASV219",77.6548722154613,77.6548722154613,77.6548722154613,NA,NA,NA,NA
"ASV220",96.8561291892836,96.8561291892836,93.430064538039,89.0941295044136,87.05691832883,76.9986875907453,76.9986875907453
"ASV221",93.3552618094941,93.3552618094941,93.3552618094941,93.3552618094941,92.5090109904898,92.5090109904898,NA
"ASV222",33.9188217888928,NA,NA,NA,NA,NA,NA
"ASV223",100,100,100,100,100,95.1732729063546,95.1732729063546
"ASV224",99.5493917948631,99.5493917948631,99.5493917948631,99.5493917948631,99.5493917948631,90.2401361992504,90.2401361992504
"ASV225",82.5954756692629,82.5954756692629,82.5954756692629,82.5954756692629,82.5954756692629,76.2873550636322,76.2873550636322
"ASV226",78.4512705434176,78.4512705434176,78.4512705434176,78.4512705434176,78.4512705434176,78.4512705434176,78.4512705434176
"ASV227",97.3636105873324,97.3636105873324,97.3636105873324,97.3636105873324,97.3636105873324,97.3636105873324,97.3636105873324
"ASV228",98.3317864673326,97.2422654113222,84.9464674834943,84.9464674834943,84.9464674834943,NA,NA
"ASV229",100,100,100,100,100,100,100
"ASV230",33.3224422787021,NA,NA,NA,NA,NA,NA
"ASV231",53.956843988562,NA,NA,NA,NA,NA,NA
"ASV232",91.4675990640717,91.4675990640717,91.4675990640717,91.4675990640717,91.4675990640717,91.4675990640717,83.4528409823736
"ASV233",86.7679963668249,86.1062089519099,86.1062089519099,86.1062089519099,75.9799929320522,75.9799929320522,75.9799929320522
"ASV234",93.3886184975078,93.3886184975078,93.3886184975078,93.3886184975078,92.5498370127952,92.5498370127952,89.0933266458853
"ASV235",91.9927857767219,91.9927857767219,91.9927857767219,NA,NA,NA,NA
"ASV236",99.7208707673077,99.7208707673077,99.7208707673077,99.7208707673077,99.7208707673077,99.7208707673077,NA
"ASV237",93.9446090218484,93.9446090218484,93.9446090218484,93.9446090218484,93.9446090218484,NA,NA
"ASV238",94.4550525077618,94.4550525077618,93.4769253132183,93.4769253132183,93.4769253132183,NA,NA
"ASV239",93.3332987648563,93.3332987648563,93.3332987648563,93.3332987648563,87.6569549239237,82.9949548524199,82.9949548524199
"ASV240",100,100,100,NA,NA,NA,NA
"ASV241",97.7804355776561,97.7804355776561,97.7804355776561,97.7804355776561,97.7804355776561,97.7804355776561,97.7804355776561
"ASV242",98.4025644316808,98.4025644316808,98.4025644316808,98.4025644316808,98.4025644316808,95.2377776442965,80.9708817887434
"ASV243",100,100,100,100,100,100,100
"ASV244",88.9707947828166,88.9707947828166,88.9707947828166,88.9707947828166,88.1380986059813,88.1380986059813,88.1380986059813
"ASV245",100,100,100,97.9826978078495,97.9826978078495,97.9826978078495,77.0407645855505
"ASV246",77.0977992087765,77.0977992087765,76.1762114457782,74.8604102790898,74.8604102790898,74.8604102790898,NA
"ASV247",96.5628931848902,96.5628931848902,96.5628931848902,96.5628931848902,96.5628931848902,96.5628931848902,96.5628931848902
"ASV248",100,100,100,100,100,100,97.1961549853672
"ASV249",97.94722598753,97.94722598753,97.94722598753,97.94722598753,97.94722598753,97.94722598753,97.0270988359375
"ASV250",73.5251353299993,72.6922159959416,71.8675536333424,71.8675536333424,71.8675536333424,NA,NA
"ASV251",91.5355310478599,91.5355310478599,91.5355310478599,91.5355310478599,91.5355310478599,88.8885651279691,88.8885651279691
"ASV252",67.4022765178064,NA,NA,NA,NA,NA,NA
"ASV253",88.0417682645988,88.0417682645988,88.0417682645988,88.0417682645988,88.0417682645988,88.0417682645988,88.0417682645988
"ASV254",93.9092731800708,93.9092731800708,93.9092731800708,93.9092731800708,93.9092731800708,93.9092731800708,81.0810399864555
"ASV255",79.0220021348529,77.881840442673,77.881840442673,77.881840442673,77.881840442673,NA,NA
"ASV256",84.1454652277421,84.1454652277421,84.1454652277421,84.1454652277421,84.1454652277421,NA,NA
"ASV257",96.7004697742868,96.7004697742868,96.7004697742868,96.7004697742868,96.7004697742868,96.7004697742868,91.7554215264273
"ASV258",96.3247431919207,96.3247431919207,96.3247431919207,96.3247431919207,83.6318552385096,83.6318552385096,83.6318552385096
"ASV259",100,100,100,100,100,100,79.1218840672935
"ASV260",97.7739509008177,97.7739509008177,97.7739509008177,97.7739509008177,97.7739509008177,97.7739509008177,97.7739509008177
"ASV261",93.812558241953,89.7075612461417,89.7075612461417,89.7075612461417,89.7075612461417,NA,NA
"ASV262",98.3303137318685,98.3303137318685,98.3303137318685,98.3303137318685,98.3303137318685,98.3303137318685,98.3303137318685
"ASV263",100,100,100,100,100,98.0715572184384,76.6091107004371
"ASV264",100,100,100,100,100,NA,NA
"ASV265",100,100,100,100,100,100,100
"ASV266",58.0845474672527,NA,NA,NA,NA,NA,NA
"ASV267",90.3039684160548,90.3039684160548,90.3039684160548,90.3039684160548,82.766635747504,82.766635747504,71.1484010087698
"ASV268",97.594921103763,97.594921103763,97.594921103763,97.594921103763,97.594921103763,97.594921103763,97.594921103763
"ASV269",95.7456291494207,95.7456291494207,94.818161813873,94.818161813873,94.818161813873,94.818161813873,94.818161813873
"ASV270",86.8336049366525,86.8336049366525,86.8336049366525,86.8336049366525,NA,NA,NA
"ASV271",96.6104623981422,96.6104623981422,96.6104623981422,96.6104623981422,96.6104623981422,96.6104623981422,96.6104623981422
"ASV272",87.9571898732422,87.9571898732422,87.9571898732422,87.9571898732422,87.9571898732422,87.9571898732422,85.7642617537203
"ASV273",97.4894895685258,97.4894895685258,97.4894895685258,97.4894895685258,97.4894895685258,93.2283545810476,89.8496535560009
"ASV274",34.4827164424984,NA,NA,NA,NA,NA,NA
"ASV275",35.9440873379493,NA,NA,NA,NA,NA,NA
"ASV276",50.3826724656297,NA,NA,NA,NA,NA,NA
"ASV277",91.3403039382561,91.3403039382561,90.3116947108265,83.9875221878084,83.4348590518063,83.4348590518063,83.4348590518063
"ASV278",97.5703426048547,97.5703426048547,97.5703426048547,97.5703426048547,97.5703426048547,97.5703426048547,95.5872854324521
"ASV279",95.2464284772512,95.2464284772512,95.2464284772512,95.2464284772512,95.2464284772512,82.7131866504608,82.7131866504608
"ASV280",48.16367956894,NA,NA,NA,NA,NA,NA
